State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Literacy,Male_Literacy,Female_Literacy,Sex_Ratio,Employed,Unemployed
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,1483347,856350,626997,488596,495794,566108,5512,45202,54.0,63.0,46.0,100.0,48.0,52.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,1338474,972486,583135,154127,897970,8606,48299,57.0,65.0,48.0,98.0,50.0,50.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,1484794,1183084,785760,159165,944555,13763,67087,64.0,71.0,57.0,100.0,46.0,54.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,1716933,1571644,945269,213195,1297273,22411,93784,64.0,67.0,61.0,101.0,41.0,59.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,1634726,1325715,957407,247089,1186028,19383,80434,61.0,67.0,54.0,100.0,49.0,51.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,1542688,1349467,247927,48937,869721,149034,274653,73.0,76.0,70.0,95.0,36.0,64.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,1257238,949591,709757,106745,926768,8831,46584,58.0,67.0,50.0,101.0,50.0,50.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,901640,728594,462896,765565,668519,8628,42171,58.0,65.0,52.0,101.0,50.0,50.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,1598959,1410759,871063,132464,1163932,30438,101450,67.0,71.0,63.0,99.0,45.0,55.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,1246369,880792,737945,82831,816721,10081,56478,52.0,61.0,44.0,99.0,50.0,50.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,2050386,2002642,1940646,1158386,782260,708954,364269,757821,6153,60812,48.0,56.0,39.0,98.0,51.0,49.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,1523030,1510258,1637137,953406,683731,537947,168985,604719,8635,47170,54.0,63.0,45.0,99.0,48.0,52.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,1759772,1729037,2001019,1160757,840262,637385,394279,789225,7715,53777,57.0,66.0,49.0,98.0,50.0,50.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,1250641,1300694,1389810,790214,599596,371074,192941,545913,5261,35036,54.0,63.0,46.0,104.0,49.0,51.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1904435,1107686,796749,787861,151145,763746,6151,43611,56.0,65.0,47.0,98.0,50.0,50.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,1341738,1361376,1495381,857824,637557,255664,166118,615432,3988,32280,55.0,64.0,47.0,101.0,48.0,52.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,1161477,1182997,1238388,707503,530885,247728,235556,527736,4453,24128,53.0,61.0,45.0,102.0,49.0,51.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,1759281,1753295,2065023,1179790,885233,616102,530656,828077,12952,59006,59.0,67.0,50.0,100.0,49.0,51.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1964918,1972048,2652389,1379223,1273166,811698,109072,1017568,12050,55613,67.0,70.0,65.0,100.0,45.0,55.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,76948,71278,73174,44027,29147,0,53878,14593,170,1486,49.0,57.0,41.0,93.0,42.0,58.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,38775,39915,38449,21599,16850,0,72400,5318,57,885,49.0,56.0,42.0,103.0,40.0,60.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,50116,49098,62576,34210,28366,0,69979,14231,450,1582,63.0,68.0,58.0,98.0,41.0,59.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,45318,46758,36606,20258,16348,0,90764,3911,95,969,40.0,45.0,35.0,103.0,41.0,59.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,76221,69505,83062,48380,34682,0,47410,17157,312,1471,57.0,63.0,50.0,91.0,42.0,58.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,28053,26027,31849,18087,13762,0,25974,5932,207,742,59.0,64.0,53.0,93.0,41.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,41843,41187,54057,29470,24587,0,72911,12493,381,1598,65.0,70.0,60.0,98.0,36.0,64.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,89182,87391,121048,65794,55254,0,117216,30539,2477,7418,69.0,74.0,63.0,98.0,37.0,63.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,29151,20826,26073,17720,8353,0,34811,8635,96,494,52.0,61.0,40.0,71.0,57.0,43.0
